gauge_id,gauge_name,country,gauge_lat,gauge_lon,area
camelsch_4019,Aeschach,DE,47.56,9.7,29.689555482891294
camelsch_4020,Rengers,DE,47.7,9.82,264.492736795945
camelsch_4021,Epplings,DE,47.68,9.86,165.15010905202837
camelsch_4022,Lochhammer,DE,47.68,9.9,29.72355809709231
camelsch_4023,Zwirkenberg,DE,47.65,9.97,103.03481638099986
camelsch_4024,Oberstaufen,DE,47.54,10.02,60.37959125189313
camelsch_4025,Beutelsau,DE,47.72,10.05,131.34972993462338
camelsch_4026,Seltmans,DE,47.65,10.08,67.54728340097596
camelsch_5001,Saint-Genis-Pouilly,FR,46.24,6.01,38.8400223739203
camelsch_5002,Échenevex_[Naz-Dessous],FR,46.3,6.03,2.2275756288526902
camelsch_5003,Saint-Julien-en-Genevois_[Thairy],FR,46.14,6.07,46.49298724399442
camelsch_5004,Rousses,FR,46.52,6.11,25.084104094163365
camelsch_5005,Bonnevaux,FR,46.81,6.19,38.51960213364983
camelsch_5006,Mouthe,FR,46.7,6.21,2.8112149794044616
camelsch_5007,Remoray-Boujeons,FR,46.76,6.25,14.82530548257105
camelsch_5008,Vétraz-Monthoux,FR,46.17,6.27,159.5024634132864
camelsch_5009,Labergement-Sainte-Marie,FR,46.77,6.28,173.49692618211904
camelsch_5010,Longevilles-Mont-d'Or,FR,46.76,6.32,28.41727824607196
camelsch_5011,Vuillecin,FR,46.94,6.33,181.22329033498823
camelsch_5012,Oye-et-Pallet,FR,46.85,6.33,249.6813828506084
camelsch_5013,Doubs,FR,46.93,6.35,388.62450991799847
camelsch_5014,la_Cluse-et-Mijoux_[Pontarlier_amont],FR,46.88,6.36,346.5015285235691
camelsch_5015,Sciez,FR,46.33,6.38,49.682808633976045
camelsch_5016,Jougne_[La_Ferrière_2],FR,46.73,6.38,30.45550928837165
camelsch_5017,Saint-Jean-de-Sixt,FR,45.93,6.42,65.58713516338288
camelsch_5018,Margencel,FR,46.34,6.42,31.37441546339669
camelsch_5019,Bonneville_[Thuet],FR,46.06,6.46,27.61776915737804
camelsch_5020,Saint-Jeoire_[Pont_du_Risse],FR,46.14,6.48,64.49228106074453
camelsch_5021,Ville-du-Pont,FR,47.0,6.48,635.0507290927935
camelsch_5022,Marignier_[Plan_Séraphin],FR,46.12,6.5,436.4486992325664
camelsch_5023,Reyvroz_[Bioge],FR,46.33,6.59,500.9022526161616
camelsch_5024,Grand'Combe-Châteleu_[Châteleu],FR,47.03,6.58,25.992002684140218
camelsch_5025,Magland_[Chez_Party],FR,46.03,6.62,709.001853698138
camelsch_5026,la_Baume_[Pt_de_Couvaloup],FR,46.27,6.62,171.13356970442348
camelsch_5027,Sallanches,FR,45.94,6.64,565.7421178949846
