date,tmin,tmax,prcp,srad,vp,pet,dayl,QObs,area,latitude,elevation
1980-05-26,-3.4371488,17.281067,0.0,645.90796,235.09183,4.323217984461527,51567.03277432073,0.8209161753044554,1219077979.0992,35.9045882806,2598.4744374761
1980-05-27,0.002249879,19.545645,0.0,625.30865,298.08838,4.690512396977197,51638.64158175972,0.7466523648245902,1219077979.0992,35.9045882806,2598.4744374761
1980-05-28,-1.5713558,19.636858,0.0,645.1364,257.18744,4.761906375406112,51707.86694586002,0.7105240245911423,1219077979.0992,35.9045882806,2598.4744374761
1980-05-29,-1.9405721,17.002672,0.0,615.4457,275.66544,4.254566064116287,51774.66274724847,0.684431334422541,1219077979.0992,35.9045882806,2598.4744374761
1980-05-30,-2.1152837,20.06391,0.0,648.8475,243.23991,4.872443941961549,51838.98378106322,0.6242174340334612,1219077979.0992,35.9045882806,2598.4744374761
1980-05-31,1.1679183,19.28305,0.0,587.39465,343.5312,4.615085495266675,51900.78585984369,0.5780534437351665,1219077979.0992,35.9045882806,2598.4744374761
1980-06-01,-0.7273751,18.86991,0.0,610.2727,292.1667,4.607992830550661,51960.02591666965,0.5579821436054733,1219077979.0992,35.9045882806,2598.4744374761
1980-06-02,-1.4874904,19.179255,0.0,621.792,267.399,4.697660615267412,52016.66210811296,0.4877325931515468,1219077979.0992,35.9045882806,2598.4744374761
1980-06-03,-1.0347403,22.101217,0.0,644.97705,246.19714,5.290725081019221,52070.65391654855,0.45963277296997623,1219077979.0992,35.9045882806,2598.4744374761
1980-06-04,1.2124231,23.199978,0.0,628.0585,290.11343,5.467700772491643,52121.96225135896,0.4455828628791909,1219077979.0992,35.9045882806,2598.4744374761
1980-06-05,2.9243944,23.838545,0.0,609.0919,334.0946,5.546541727908538,52170.54954855604,0.4355472128143443,1219077979.0992,35.9045882806,2598.4744374761
1980-06-06,5.7164426,24.590715,0.0,575.09033,423.1029,5.573322419767829,52216.37986833721,0.42149730272355895,1219077979.0992,35.9045882806,2598.4744374761
1980-06-07,5.1613226,23.248766,0.0,556.4637,427.5499,5.303040172418224,52259.41899008966,0.4014260025938657,1219077979.0992,35.9045882806,2598.4744374761
